version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 659949029828 eni-0614c6b99754808d6 44.190.5.123 10.0.45.111 123 60866 17 1 76 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 44.190.5.123 60866 123 17 1 76 1724168108 1724168133 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 206.168.35.103 10.0.45.111 10613 6667 6 1 60 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 167.172.239.86 10.0.45.111 44426 22 6 1 60 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 206.168.32.59 10.0.45.111 16962 40858 6 1 44 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 206.168.35.30 10.0.45.111 44520 8888 6 1 60 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 222.118.78.179 10.0.45.111 57928 23 6 2 120 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 173.249.203.72 10.0.45.111 123 58512 17 1 76 1724168108 1724168133 REJECT OK
2 659949029828 eni-0614c6b99754808d6 193.163.125.127 10.0.45.111 33072 12976 6 1 44 1724168136 1724168150 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 173.249.203.72 58512 123 17 1 76 1724168136 1724168150 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 206.168.35.138 10.0.45.111 48430 26257 6 1 60 1724168136 1724168150 REJECT OK
2 659949029828 eni-0614c6b99754808d6 79.110.62.137 10.0.45.111 45366 63709 6 1 40 1724168136 1724168150 REJECT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.193 22 28742 6 1080 888944 1724168136 1724168150 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.193 10.0.45.111 28742 22 6 507 54312 1724168136 1724168150 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 10.0.45.111 35.172.155.192 22 23081 6 1 80 1724168136 1724168150 ACCEPT OK
2 659949029828 eni-0614c6b99754808d6 35.172.155.192 10.0.45.111 23081 22 6 2 156 1724168136 1724168150 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 79.110.62.103 10.0.42.239 45357 50122 6 1 40 1724168147 1724168163 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 88.99.3.176 10.0.42.239 443 62931 6 1 44 1724168147 1724168163 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 185.242.226.42 10.0.42.239 40262 104 6 1 44 1724168147 1724168163 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 35.172.155.194 10.0.42.239 4684 22 6 2 156 1724168147 1724168163 ACCEPT OK
2 659949029828 eni-05a1ae44ffa237282 194.26.29.113 10.0.42.239 44599 9160 6 1 40 1724168147 1724168163 REJECT OK
2 659949029828 eni-05a1ae44ffa237282 10.0.42.239 35.172.155.194 22 4684 6 1 80 1724168147 1724168163 ACCEPT OK
