Tag Counts:
Tag,Count
Untagged,97
sv_P4,35
sv_P1,3
sv_P5,2

Port/Protocol Combination Counts:
Port,Protocol,Count
60866,udp,1
123,udp,5
6667,tcp,1
22,tcp,35
40858,tcp,1
8888,tcp,2
23,tcp,3
58512,udp,1
12976,tcp,1
26257,tcp,1
63709,tcp,1
28742,tcp,4
23081,tcp,4
50122,tcp,1
62931,tcp,2
104,tcp,1
9160,tcp,1
4684,tcp,3
56620,tcp,1
50328,tcp,1
29861,tcp,1
44269,tcp,4
7617,tcp,1
8159,tcp,1
53291,tcp,1
55944,udp,1
4935,tcp,1
33068,udp,1
61616,tcp,1
944,tcp,1
61895,tcp,1
2202,tcp,1
32221,tcp,1
8728,tcp,2
51258,udp,1
3621,tcp,1
8434,tcp,1
3845,tcp,1
14008,tcp,1
23328,tcp,1
4950,tcp,1
61293,tcp,2
0,icmp,2
80,tcp,1
36558,udp,1
55140,tcp,3
11300,tcp,1
5021,tcp,1
44300,tcp,3
1200,tcp,1
3612,tcp,1
56792,tcp,1
5678,tcp,1
9605,tcp,1
17903,tcp,2
55257,tcp,1
62097,tcp,1
5432,tcp,1
10285,tcp,1
29196,tcp,1
2000,tcp,1
43339,tcp,1
58811,tcp,1
32768,tcp,1
9022,tcp,1
17777,tcp,1
58386,tcp,1
59650,tcp,1
9459,tcp,1
7173,tcp,1
6001,tcp,1
789,tcp,1
29648,tcp,1
14574,tcp,1
40004,tcp,1
2036,tcp,1
