Tag Counts:
Tag,Count
sv_P4,27
Untagged,131
sv_P2,2
sv_P5,3
sv_P1,2

Port/Protocol Combination Counts:
Port,Protocol,Count
22,tcp,27
5900,tcp,1
9402,tcp,1
14400,tcp,1
8080,tcp,2
50101,tcp,1
8000,tcp,1
8513,tcp,1
60000,tcp,1
123,udp,2
17903,tcp,4
29662,tcp,3
55522,tcp,1
9969,tcp,5
29092,tcp,1
8056,tcp,1
47148,tcp,1
8800,tcp,1
56072,tcp,1
199,tcp,1
10012,tcp,1
8104,tcp,1
49025,tcp,1
2222,tcp,1
1901,tcp,1
9954,tcp,1
8142,tcp,1
139,udp,1
32890,tcp,1
61293,tcp,5
56789,tcp,1
9965,tcp,1
2076,tcp,1
4848,tcp,1
8092,tcp,1
38216,udp,1
9104,tcp,1
33893,tcp,1
7924,tcp,5
2905,tcp,1
2211,tcp,1
63281,tcp,1
8442,tcp,1
9000,tcp,1
9357,tcp,1
8423,tcp,1
17164,tcp,1
11596,tcp,1
111,tcp,1
9746,tcp,1
4145,tcp,1
6802,tcp,1
5500,tcp,1
29547,tcp,1
2529,tcp,1
1443,tcp,1
49304,tcp,1
443,tcp,2
53,tcp,1
65327,tcp,1
8728,tcp,3
14443,tcp,1
65374,tcp,1
0,icmp,3
8032,tcp,1
8443,tcp,1
3561,tcp,1
8003,tcp,1
57401,udp,1
9973,tcp,1
10398,tcp,1
47321,tcp,1
9029,tcp,1
9025,tcp,1
4949,tcp,1
23,tcp,2
6379,tcp,1
638,tcp,1
17406,tcp,1
8804,tcp,1
9517,tcp,1
2150,tcp,1
9568,tcp,1
41282,tcp,1
56306,tcp,1
10086,tcp,1
9016,tcp,1
47429,tcp,1
38222,tcp,1
5143,tcp,1
1977,tcp,1
51082,tcp,1
49902,tcp,1
58116,tcp,1
52002,tcp,1
10269,tcp,1
5847,tcp,1
8173,tcp,1
9803,tcp,1
2380,tcp,1
59632,tcp,1
3074,tcp,1
8879,tcp,1
2638,tcp,1
11,tcp,1
2052,tcp,1
1367,tcp,1
8110,tcp,1
40749,tcp,1
3793,tcp,1
51050,tcp,1
47261,tcp,1
8081,tcp,1
557,tcp,1
